   1Air Force Base          AFB           AFB   AFB         BUC                                 
   2Airport                 Arpt          Arpt  Arpt        BUC                                 
   3Apartments              Apts          Apts  Apts        BUR                                 
   4Arcade                  Arc           Arc   Arc         BUC                                 
   5Bazaar                  Bazr          Bazr  Bazr        BUC                                 
   6Building                Bldg          Bldg  Bldg        BUR                                 
   7Business Park           Bspk          BsPk  BsPk        BUC                                 
   8Center                  Ctr           Ctr   Ctr         BUR                                 
   9Club                    Club          Club  Club        BUC                                 
  10Collection              Cltn          Cltn  Cltn        BUC                                 
  11Commons                 Comn          Comn  Cmmn        BUR                                 
  12Complex                 Cplx          Cplx  Cplx        BUR                                 
  13Condominiums            Cond          Cond  Cond        BUR                                 
  14Connection              Cncn          Cncn  Cncn        BUC                                 
  15Corners                 Cors          Cors  Cors        BUC                                 
  16Courthouse              Cths          Cths  Cths        BUC                                 
  17Courts                  Cts           Cts   Cts         BUC                                 
  18Courtyard               Ctyd          Ctyd  Ctyd        BUC                                 
  19Crossing                Xing          Xing  Xing        BUC                                 
  20Crossroads              Xrds          Xrds  Xrds        BUC                                 
  21Edificio                Edif          Edif  Edif        BUR                                 
  22Esplanade               Esp           Esp   Esp         BUC                                 
  23Exchange                Exch          Exch  Exch        BUC                                 
  24Festival                Fest          Fest  Fest        BUC                                 
  25Galleria                Galr          Galr  Galr        BUC                                 
  26Hall                    Hall          Hall  Hall        BUC                                 
  27Home                    Home          Home  Home        BUC                                 
  28Hospital                Hosp          Hosp  Hosp        BUC                                 
  29Hotel                   Htl           Htl   Htl         BUC                                 
  30House                   Hous          Hous  Hse         BUC                                 
  31Industrial Park         Inpk          InPk  InPk        BUC                                 
  32Inn                     Inn           Inn   Inn         BUC                                 
  33Junction                Jct           Jct   Jct         BUC                                 
  34Landing                 Lndg          Lndg  Lndg        BUC                                 
  35Lodge                   Ldge          Ldge  Ldge        BUC                                 
  36Mall                    Mall          Mall  Mall        BUC                                 
  37Manor                   Mnr           Mnr   Mnr         BUC                                 
  38Market                  Mkt           Mkt   Mkt         BUC                                 
  39Mercado                 Merc          Merc  Merc        BUC                                 
  40Motel                   Mtl           Mtl   Mtl         BUC                                 
  41Naval Air Station       NAS           NAS   NAS         BUC                                 
  42Office Park             OfPk          OfPk  OfPk        BUC                                 
  43Outlet                  Otlt          Otlt  Otlt        BUC                                 
  44Park                    Park          Park  Park        BUC                                 
  45Pavillion               Pavl          Pavl  Pavl        BUC                                 
  46Plantation              Plnt          Plnt  Plnt        BUC                                 
  47Plaza                   Plz           Plz   Plz         BUC                                 
  49Promenade               Prom          Prom  Prom        BUC                                 
  50Quarters                Qtrs          Qtrs  Qtrs        BUR                                 
  51Residencia              Res           Res   Res         BUR                                  
  52Seven Corners           7 Co          7 Co  7 Co        BUC                                 
  53Shopping Center         Sc            Sc    Sc          BUC                                 
  54Square                  Sq            Sq    Sq          BUC                                 
  55Station                 Sta           Sta   Sta         BUC                                 
  56Suites                  Stes          Stes  Stes        BUR                                 
  57Towers                  Twrs          Twrs  Twrs        BUR                                 
  58Townhouse               Twnh          Twnh  Twnh        BUR                                 
  59Trailer Park            Trpk          Trpk  Trpk        BUR                                 
  60Villa                   Vlla          Vlla  Vlla        BUC                                 
  61Village                 Vlg           Vlg   Vlg         BUC                                 
  62Vivienda                Vivi          Vivi  Vivi        BUR                                 
  63Estates                 Ests          Ests  Ests        BUC                                 
  64College                 Coll          Coll  Coll        BUC                                 
  65Cottage                 Cott          Cott  Cott        BUR                                 
  66Projects                Proj          Proj  Proj        BUR  
  67Resort                  Rsrt          Rsrt  Rsrt        BUR  
  68University              Univ          Univ  Univ        BUR                      
   1North                   N             N     N           DRRU                                
   2South                   S             S     S           DRRU                                
   3East                    E             E     E           DRRU                                
   4West                    W             W     W           DRRU                                
   5Northeast               NE            NE    NE          DRRU                                
   6Northwest               NW            NW    NW          DRRU                                
   7Southeast               SE            SE    SE          DRRU                                
   8Southwest               SW            SW    SW          DRRU                                
