P&G                           PROCTER & GAMBLE
PACSUN                        PACIFIC SUNWEAR OF CALIFORNIA
PCA                           PACKAGING CORPORATION OF AMERICA
PRCA                          POLYMER RESEARCH
PRCC                          POLLUTION RESEARCH AND CONTROL
RVSI                          ROBOTIC VISION
SCI                           SERVICE CORPORATION INTERNATIONAL
SEC                           SECURITIES AND EXCHANGE COMMISSION
SGI                           SILICON GRAPHICS
SINOCHEM                      CHINA NATIONAL CHEMICALS IMPORT & EXPORT
SINOPEC                       CHINA PETROCHEMICAL
SMG                           STARCOM MEDIAVEST
SMP                           STANDARD MOTOR PRODUCTS
SRBI                          SCHULMAN, RONCA, & BUCUVALAS
SST                           SILICON STORAGE TECHNOLOGY
STC                           SATELLITE TELEVISION COMPANY
STC                           SCANDINAVIAN TELE CONSULT A/S
STC                           SCIENCE & TECHNOLOGY CORPORATION
STC                           SCIENTIFIC TECHNOLOGIES CORPORATION
STC                           SEEBEYOND
STC                           SIRIUS TECHNOLOGY CORPORATION
STC                           SOCIETY FOR TECHNICAL COMUNICATION
STC                           SOUTHEASTERN TRANSPORTATION CENTER
STC                           STRUCTURAL TECHNOLOGY CORPORATION
STORAGETEK                    STORAGE TECHNOLOGY
SVR                           SILICON VALLEY RESEARCH
TAI                           TOSHIBA AMERICA
TBS                           TURNER BROADCASTING
TEL                           TOKYO ELECTRON
THR                           TEXAS HEALTH RESOURCES
TI                            TEXAS INSTRUMENT
TTI                           TRANSPORTATION TECHNOLOGIES INDUSTRIES
TVA                           TENNESSEE VALLEY AUTHORITY
UBOC                          UNION BANK OF CALIFORNIA
UFP                           UNIVERSAL FOREST PRODUCTS
UHS                           UNIVERSAL HEALTH SERVICES
UIC                           UNITED INDUSTRIAL 
UMC                           UNITED MICROELECTRONICS
UPS                           UNITED PARCEL SERVICE
USA                           UNITED SPACE ALLIANCE
USC                           UNIVERSITY OF SOUTHERN CALIFORNIA
UTA                           USER TECHNOLOGY
UTC                           UNITED TECHNOLOGIES
UWA                           UNITED WAY OF AMERICA
VUE                           VIVENDI UNIVERSAL ENTERTAINMENT
VW                            VOLKSWAGEN
WHO                           WORLD HEALTH ORGANIZATION
WTO                           WORLD TRADE ORGANIZATION
YCA                           YAMAHA CORPORATION OF AMERICA
